id,session_id,created_at,call_type,recorded_filename,direct_pesq,pstn_pesq,volte_pesq,voip_pesq
b7a24dfc-0aa3-4994-acc8-2a268b6a14b0,bea560bc-d077-4e0c-97c8-f1191d19a842,2026-06-19 11:32:29.049626+05:30,device,webrtc_recording.wav,2.7160,3.5760,2.7230,2.6710
6d8c42fa-0562-40bd-adb4-cd5de4e0dbbd,,2026-06-19 11:18:58.045504+05:30,device,webrtc_recording.wav,2.6700,3.5960,2.7040,2.6750
69858406-611e-4ee6-9c83-2da9e8126d86,032d7e6a-4afb-4b12-85f9-ea6ec447bf1b,2026-06-19 10:15:44.541312+05:30,device,webrtc_recording.wav,1.0910,1.2540,1.0730,1.0980
69e740b8-feb8-4349-b907-e5f177a880db,f4ff1fe7-03c5-4efb-9582-95fe55de4d5b,2026-06-19 09:53:16.931952+05:30,device,webrtc_recording.wav,1.6290,2.5000,1.6600,1.7150
a0527466-66a1-4175-9e22-38c5aad62954,fdd335a9-40f0-4eb4-b93b-062a159a094a,2026-06-19 09:47:57.182805+05:30,device,webrtc_recording.wav,1.1400,1.3750,1.1400,1.1750
f4df46ac-892d-405f-9a6f-5d2bc74fde2f,4811dfd7-977a-4a73-b8cd-d124d50c6e54,2026-06-19 09:45:08.467610+05:30,device,webrtc_recording.wav,1.1190,1.2580,1.1140,1.1090
f6ac5355-9744-4eba-9b96-d735c7092116,f7bfee21-f834-4d16-9a6f-79c0b0c7afe4,2026-06-19 09:41:33.772854+05:30,device,webrtc_recording.wav,1.5840,2.6090,1.5930,1.5770
3130e77e-4ba6-48fe-b21a-478eb51f4985,7abdbf8c-e9de-4d75-a35b-26e63dfa6a7b,2026-06-19 09:19:10.740334+05:30,device,webrtc_recording.wav,1.1500,1.3220,1.1530,1.1530
f81f56e0-ff2f-48a9-82d8-1dd13efb247f,86c270d9-e0b0-46e2-9c65-acd95bc55802,2026-06-19 09:16:20.796226+05:30,device,webrtc_recording.wav,1.0920,1.2690,1.1050,1.0950
d6c9857e-8237-4967-a81d-026bcf8e12f4,7998021d-fa6e-45f7-9c35-824c0bbd1e32,2026-06-19 09:11:47.240602+05:30,device,webrtc_recording.wav,1.0410,1.1610,1.0540,1.0490
fd734184-a840-44fb-b4a8-0623a5a97bf1,f96485d7-aed4-49c0-be3b-4fa5d6dccbb2,2026-06-19 09:03:01.736675+05:30,device,webrtc_recording.wav,1.3630,1.1890,1.3740,1.3090
db178ff9-bfee-48a9-bfb7-f3815fcfdfd4,bd51fbc2-1cf3-422a-b3c0-c481f7ea8582,2026-06-19 09:00:07.431622+05:30,device,webrtc_recording.wav,2.1220,3.1880,2.1290,2.1290
22c376f5-95d1-46e6-b357-3e00680a6330,8d58ddec-fdbe-4c21-9ff3-203cb61b1716,2026-06-19 08:58:54.602333+05:30,device,webrtc_recording.wav,1.1420,1.6620,1.1480,1.1500
76a2e085-bf61-4155-a418-a7e84703d6cc,29e8e0ee-aa5d-4cdd-9e81-ac7daa14f5fa,2026-06-19 08:56:29.499152+05:30,device,webrtc_recording.wav,1.7260,2.1640,1.7020,1.6980
7c9a6c3c-c9a9-4d80-a53c-a7e770f3f59f,29e8e0ee-aa5d-4cdd-9e81-ac7daa14f5fa,2026-06-19 08:52:50.998806+05:30,device,webrtc_recording.wav,2.3790,3.3380,2.4490,2.4060
f4b3ca62-76e6-44bb-8179-f1c21dab7f69,2ee8c36b-ce47-4041-a173-e70486294001,2026-06-19 08:43:28.874800+05:30,device,webrtc_recording.wav,2.2020,3.2670,2.1880,2.1980
fc4baa0e-e09c-41df-9606-e74ff364f98e,180965ba-7189-49f9-9ca1-051511072cd6,2026-06-19 08:38:06.606341+05:30,device,webrtc_recording.wav,1.9060,2.9730,1.9080,1.8770
