user_id,device_id,age_group,phone_condition,phone_duration,phone_history,primary_usage,internet_frequency,phone_sharing,internet_connection_type,phone_acquisition
User 1,Device 1,25–34,New (purchased first-hand),Less than 6 months,"Yes, mostly used/second-hand phones","Payments/financial apps, Accessing government services, Calls and messaging, Work or business",Rarely,Shared with non-family members,Both equally,Bought by family
User 2,Device 2,55+,New (purchased first-hand),2–3 years,"Yes, mostly new phones","Calls and messaging, Social media, Entertainment (videos/music/games)",Daily,Only me,Wi-Fi,Bought by family
User 3,Device 3,Prefer not to say,New (purchased first-hand),2–3 years,"Yes, mostly used/second-hand phones","Accessing government services, Social media",Almost all the time,Shared with family members,Wi-Fi,Received as a gift
User 4,Device 4,18–24,New (purchased first-hand),6–12 months,"Yes, mostly new phones","Social media, Calls and messaging, Education/learning, Payments/financial apps, Entertainment (videos/music/games)",Daily,Only me,Both equally,Bought by me
User 5,Device 5,25–34,New (purchased first-hand),1–2 years,"Yes, mostly new phones","Calls and messaging, Social media, Entertainment (videos/music/games), Work or business, Payments/financial apps",Almost all the time,Only me,Both equally,Bought by me
User 6,Device 6,18–24,New (purchased first-hand),More than 3 years,"Yes, mostly new phones","Calls and messaging, Social media, Entertainment (videos/music/games), Payments/financial apps, Education/learning",Daily,Only me,Mobile data,Bought by family
User 7,Device 7,18–24,New (purchased first-hand),1–2 years,"No, this is my first phone","Calls and messaging, Social media, Entertainment (videos/music/games), Payments/financial apps",Daily,Only me,Rarely use internet,Bought by family
User 8,Device 8,18–24,Used (purchased second-hand),2–3 years,"Yes, a mix","Entertainment (videos/music/games), Payments/financial apps, Calls and messaging, Social media, Education/learning",Almost all the time,Only me,Both equally,Bought by family
User 9,Device 9,18–24,New (purchased first-hand),More than 3 years,"Yes, mostly new phones",Social media,Daily,Shared with family members,Mobile data,Bought by family
User 10,Device 10,18–24,Used (purchased second-hand),More than 3 years,"Yes, mostly new phones",Education/learning,Almost all the time,Only me,Wi-Fi,Bought by family
