id,user_id,created_at,device_model,device_brand,device_manufacturer,device_product,device_hardware,supported_abis,cpu_cores,android_version,sdk_version,build_number,security_patch_level,build_fingerprint,bootloader,is_physical_device,is_rooted,app_package_name,app_version_name,app_version_code,app_installer_package,is_debug_build,screen_width_px,screen_height_px,screen_density,display_refresh_rate,device_language,device_locale,timezone,country_code,battery_level,battery_state,connection_type,wifi_name,wifi_bssid,local_ipv4,local_ipv6,is_vpn_active,network_speed_category,network_latency_ms,latitude,longitude,altitude,location_accuracy,speed,bearing,locality,country,postal_code,admin_area,iso_country_code,permission_statuses,session_start,session_screen_views,session_user_actions,session_background_count,app_launch_time_ms,frame_drop_count,last_crash_info,device_tier,total_ram_mb,available_ram_mb,total_disk_mb,free_disk_mb,audio_output_route
f402c136-48d9-4d7e-b269-8bd55dd50bbb,b3dcce6b-9023-4d9c-b7f8-4831df500310,2026-06-19 12:12:37.038095+05:30,sdk_gphone_arm64,google,Google,sdk_gphone_arm64,ranchu,arm64-v8a,4,11,30,RSR1.240422.006,2021-08-05,google/sdk_gphone_arm64/emulator_arm64:11/RSR1.240422.006/12134477:userdebug/dev-keys,unknown,False,True,com.bits.phonepathology,1.0.6,7,,False,1080.00,2274.00,2.6250,60.0000,en,en,PDT,,100,charging,wifi,AndroidWifi,00:13:10:85:fe:01,10.0.2.16,fe80::fad0:e84e:fd6:4eb6,False,fast,3.0,,,,,,,,,,,,"{'Permission.camera': 'granted', 'Permission.photos': 'denied', 'Permission.sensors': 'denied', 'Permission.storage': 'granted', 'Permission.location': 'granted', 'Permission.bluetooth': 'granted', 'Permission.microphone': 'granted', 'Permission.notification': 'granted', 'Permission.bluetoothScan': 'granted', 'Permission.bluetoothConnect': 'granted', 'Permission.locationWhenInUse': 'granted', 'Permission.activity_recognition': 'denied'}",2026-06-18 23:42:28.853464+05:30,0,0,0,,0,,mid,3927,2359,5939,5026,unknown
bea560bc-d077-4e0c-97c8-f1191d19a842,4903cabe-c343-4326-b41c-9313ce10926d,2026-06-19 11:31:07.796991+05:30,SM-E135F,samsung,samsung,m13dd,exynos850,"armeabi-v7a, armeabi",8,14,34,UP1A.231005.007,2026-02-05,samsung/m13dd/m13:14/UP1A.231005.007/E135FXXSDEZB1:user/release-keys,E135FXXSDEZB1,True,False,com.bits.phonepathology,1.0.6,7,com.android.vending,False,1080.00,2273.00,2.8125,60.0000,en,en_IN,IST,IN,100,discharging,wifi,vivek-airfiber-jio,56:4d:9f:a7:23:22,192.168.31.26,fe80::cc15:fff:fe31:e5ef,False,fast,20.0,17.53572580,78.39153540,562.2000,100.0000,0.0000,0.0000,Hyderabad,India,500090,Telangana,IN,"{'Permission.camera': 'denied', 'Permission.photos': 'denied', 'Permission.sensors': 'denied', 'Permission.storage': 'denied', 'Permission.location': 'granted', 'Permission.bluetooth': 'granted', 'Permission.microphone': 'denied', 'Permission.notification': 'denied', 'Permission.bluetoothScan': 'denied', 'Permission.bluetoothConnect': 'denied', 'Permission.locationWhenInUse': 'granted', 'Permission.activity_recognition': 'denied'}",2026-06-19 11:31:03.688435+05:30,0,0,0,,0,,mid,3702,692,52038,32121,unknown
6ec3a166-e6cf-48d8-bfa6-54578b188872,68a84937-01e9-4aa7-847f-12e27c972937,2026-06-19 11:16:22.811808+05:30,SM-A366E,samsung,samsung,a36xqnsins,qcom,arm64-v8a,8,16,36,BP4A.251205.006,2026-05-05,samsung/a36xqnsins/a36xq:16/BP4A.251205.006/A366EXXSACZE5_ODMACZE5:user/release-keys,A366EXXSACZE5,True,False,com.bits.phonepathology,1.0.5,6,com.google.android.packageinstaller,False,1080.00,2340.00,2.8125,120.0000,en,en_IN,IST,IN,8,discharging,cellular,,,100.110.105.148,fe80::804b:ff:fed4:a2a,False,fast,31.0,17.54668940,78.56989530,536.4000,100.0000,0.0000,0.0000,Secunderabad,India,500078,Telangana,IN,"{'Permission.camera': 'denied', 'Permission.photos': 'denied', 'Permission.sensors': 'denied', 'Permission.storage': 'denied', 'Permission.location': 'granted', 'Permission.bluetooth': 'granted', 'Permission.microphone': 'denied', 'Permission.notification': 'denied', 'Permission.bluetoothScan': 'denied', 'Permission.bluetoothConnect': 'denied', 'Permission.locationWhenInUse': 'granted', 'Permission.activity_recognition': 'denied'}",2026-06-19 11:16:22.429244+05:30,0,0,0,,0,,high,7353,3065,104920,58704,unknown
512d6722-abc2-4795-b2a8-0c2f6475b94b,4d97aad4-7dc4-418e-9dd3-bd7e61acb6a4,2026-06-19 10:54:46.427397+05:30,OnePlus8Pro,OnePlus,OnePlus,IN2023,sunfish,"x86_64, arm64-v8a, x86, armeabi-v7a, armeabi",2,11,30,QKR1.191246.002,2021-07-16,OnePlus/IN2023/OnePlus8Pro:11/QKR1.191246.002/2006701342:user/release-keys,unknown,True,False,com.bits.phonepathology,1.0.6,7,,False,288.00,448.00,0.6625,60.0000,en,en_BE,PDT,BE(locale),85,charging,cellular,,,,,False,fast,4.0,,,,,,,,,,,,"{'Permission.camera': 'granted', 'Permission.photos': 'denied', 'Permission.sensors': 'denied', 'Permission.storage': 'granted', 'Permission.location': 'granted', 'Permission.bluetooth': 'granted', 'Permission.microphone': 'granted', 'Permission.notification': 'granted', 'Permission.bluetoothScan': 'granted', 'Permission.bluetoothConnect': 'granted', 'Permission.locationWhenInUse': 'granted', 'Permission.activity_recognition': 'denied'}",2026-06-18 22:24:44.499173+05:30,0,0,0,,0,,mid,4179,2095,4094,2472,unknown
b2852a3a-c1d4-47b0-8b32-224964ce6a7a,4d97aad4-7dc4-418e-9dd3-bd7e61acb6a4,2026-06-19 10:54:22.337112+05:30,OnePlus8Pro,OnePlus,OnePlus,IN2023,sunfish,"x86_64, arm64-v8a, x86, armeabi-v7a, armeabi",2,11,30,QKR1.191246.002,2021-07-16,OnePlus/IN2023/OnePlus8Pro:11/QKR1.191246.002/2006701342:user/release-keys,unknown,True,False,com.bits.phonepathology,1.0.6,7,,False,288.00,448.00,0.6625,60.0000,en,en_BE,PDT,BE(locale),85,charging,cellular,,,,,False,fast,3.0,,,,,,,,,,,,"{'Permission.camera': 'granted', 'Permission.photos': 'denied', 'Permission.sensors': 'denied', 'Permission.storage': 'granted', 'Permission.location': 'granted', 'Permission.bluetooth': 'granted', 'Permission.microphone': 'granted', 'Permission.notification': 'granted', 'Permission.bluetoothScan': 'granted', 'Permission.bluetoothConnect': 'granted', 'Permission.locationWhenInUse': 'granted', 'Permission.activity_recognition': 'denied'}",2026-06-18 22:24:18.960930+05:30,0,0,0,,0,,mid,4179,2076,4094,2479,unknown
b6945436-3908-479a-8186-406ee4abeaf9,cc85ab8e-26e5-4a5f-aa42-d03adfc47a3c,2026-06-19 10:29:32.934215+05:30,SM-A307FN,samsung,samsung,a30sxx,exynos7904,"arm64-v8a, armeabi-v7a, armeabi",8,11,30,RP1A.200720.012,2023-08-01,samsung/a30sxx/a30s:11/RP1A.200720.012/A307FNXXU4CWH7:user/release-keys,A307FNXXU4CWH7,True,False,com.bits.phonepathology,1.0.4,5,,True,720.00,1452.00,2.2500,60.0000,en,en_GB,IST,IN,40,charging,wifi,Mamatha_5G,54:af:97:d2:a7:18,192.168.0.124,fe80::b089:7cff:fe27:94db,False,fast,41.0,17.47328500,78.38704370,509.1000,15.3410,0.0000,0.0000,Hyderabad,India,500085,Telangana,IN,"{'Permission.camera': 'denied', 'Permission.photos': 'denied', 'Permission.sensors': 'denied', 'Permission.storage': 'denied', 'Permission.location': 'granted', 'Permission.bluetooth': 'granted', 'Permission.microphone': 'denied', 'Permission.notification': 'granted', 'Permission.bluetoothScan': 'granted', 'Permission.bluetoothConnect': 'granted', 'Permission.locationWhenInUse': 'granted', 'Permission.activity_recognition': 'denied'}",2026-06-19 10:29:32.314326+05:30,0,0,0,,0,,mid,3724,1166,52898,13175,unknown
032d7e6a-4afb-4b12-85f9-ea6ec447bf1b,92ed8a27-bf1a-4de2-9452-b6aefda5ff5c,2026-06-19 10:14:22.603008+05:30,CPH2691,OnePlus,OnePlus,CPH2691IN,qcom,arm64-v8a,8,16,36,UKQ1.231108.001,2026-05-01,OnePlus/CPH2691IN/OP5D3BL1:16/UKQ1.231108.001/V.R4T3.1590e8c_e2cbbf_e2cbc0:user/release-keys,unknown,True,False,com.bits.phonepathology,1.0.5,6,com.android.vending,False,1080.00,2376.00,3.0000,120.0000,en,en_GB,IST,IN,58,discharging,wifi,BliveTech,94:ef:97:d8:4e:1b,192.168.50.181,fe80::e063:7ff:fe33:9016,False,fast,47.0,12.91502360,77.63212050,829.6000,100.0000,0.0000,0.0000,Bengaluru,India,560102,Karnataka,IN,"{'Permission.camera': 'granted', 'Permission.photos': 'denied', 'Permission.sensors': 'denied', 'Permission.storage': 'denied', 'Permission.location': 'granted', 'Permission.bluetooth': 'granted', 'Permission.microphone': 'granted', 'Permission.notification': 'denied', 'Permission.bluetoothScan': 'denied', 'Permission.bluetoothConnect': 'denied', 'Permission.locationWhenInUse': 'granted', 'Permission.activity_recognition': 'denied'}",2026-06-19 10:14:21.049707+05:30,0,0,0,,0,,high,11214,2760,224517,113913,unknown
f4ff1fe7-03c5-4efb-9582-95fe55de4d5b,92ed8a27-bf1a-4de2-9452-b6aefda5ff5c,2026-06-19 09:50:58.908827+05:30,CPH2691,OnePlus,OnePlus,CPH2691IN,qcom,arm64-v8a,8,16,36,UKQ1.231108.001,2026-05-01,OnePlus/CPH2691IN/OP5D3BL1:16/UKQ1.231108.001/V.R4T3.1590e8c_e2cbbf_e2cbc0:user/release-keys,unknown,True,False,com.bits.phonepathology,1.0.5,6,com.android.vending,False,1080.00,2376.00,3.0000,120.0000,en,en_GB,IST,IN,62,discharging,wifi,Someshwara PG2F_5G,44:95:3b:e6:3c:11,192.168.1.3,fe80::643b:42ff:fe9b:f0e1,False,fast,45.0,12.91130110,77.63001380,819.9000,100.0000,0.0000,0.0000,Bengaluru,India,560068,Karnataka,IN,"{'Permission.camera': 'denied', 'Permission.photos': 'denied', 'Permission.sensors': 'denied', 'Permission.storage': 'denied', 'Permission.location': 'granted', 'Permission.bluetooth': 'granted', 'Permission.microphone': 'denied', 'Permission.notification': 'denied', 'Permission.bluetoothScan': 'denied', 'Permission.bluetoothConnect': 'denied', 'Permission.locationWhenInUse': 'granted', 'Permission.activity_recognition': 'denied'}",2026-06-19 09:50:58.165320+05:30,0,0,0,,0,,high,11214,2119,224517,113878,unknown
fdd335a9-40f0-4eb4-b93b-062a159a094a,bd64af14-1b73-434a-96b2-343ded38f950,2026-06-19 09:46:15.919199+05:30,moto g96 5G,motorola,motorola,cuscoi_g25,qcom,"arm64-v8a, armeabi-v7a, armeabi",8,16,36,W1UUI36H.110-53,2026-04-01,motorola/cuscoi_g25/cuscoi:16/W1UUI36H.110-53/06a6c6-9bcdee:user/release-keys,MBM-3.0-cuscoi-069b76d47ac5-260506-VUUI35HV-W1-ST23-06a6c6,True,False,com.bits.phonepathology,1.0.5,6,com.android.vending,False,1080.00,2400.00,2.1250,90.0000,en,en_IN,IST,IN,24,discharging,wifi,,,,,False,fast,37.0,17.64675020,77.79904240,572.5000,100.0000,0.0000,0.0000,Kamkole,India,502345,Telangana,IN,"{'Permission.camera': 'denied', 'Permission.photos': 'denied', 'Permission.sensors': 'denied', 'Permission.storage': 'denied', 'Permission.location': 'denied', 'Permission.bluetooth': 'granted', 'Permission.microphone': 'denied', 'Permission.notification': 'denied', 'Permission.bluetoothScan': 'denied', 'Permission.bluetoothConnect': 'denied', 'Permission.locationWhenInUse': 'denied', 'Permission.activity_recognition': 'denied'}",2026-06-19 09:46:14.469099+05:30,0,0,0,,0,,high,7385,1666,233348,166585,unknown
df37898f-1fbf-49f8-bc30-3f071f7b74f8,edde3dce-43b8-4706-80bb-116f638442a9,2026-06-19 09:46:09.212220+05:30,V2225,vivo,vivo,V2225,mt6833,"arm64-v8a, armeabi-v7a, armeabi",8,15,35,AP3A.240905.015.A2_CS,2025-05-01,vivo/V2225/V2225:15/AP3A.240905.015.A2_CS/compiler260228144420:user/release-keys,unknown,True,False,com.bits.phonepathology,1.0.5,6,com.android.vending,False,1080.00,2408.00,2.7500,60.0000,en,en_US,IST,IN,94,discharging,wifi,SSS NETWORK ,6c:5a:b0:a6:e0:9a,192.168.0.116,fe80::80f4:beff:fe90:1d0d,False,fast,70.0,17.24673780,81.13188420,116.3000,100.0000,0.0000,0.0000,Aswaraopeta,India,507301,Telangana,IN,"{'Permission.camera': 'denied', 'Permission.photos': 'denied', 'Permission.sensors': 'denied', 'Permission.storage': 'denied', 'Permission.location': 'granted', 'Permission.bluetooth': 'granted', 'Permission.microphone': 'denied', 'Permission.notification': 'denied', 'Permission.bluetoothScan': 'denied', 'Permission.bluetoothConnect': 'denied', 'Permission.locationWhenInUse': 'granted', 'Permission.activity_recognition': 'denied'}",2026-06-19 09:46:08.009792+05:30,0,0,0,,0,,high,7636,2346,108557,5514,unknown
